,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0,"


0001",Bulbasaur,Grass Poison,318,45,49,49,65,65,45
1,"


0002",Ivysaur,Grass Poison,405,60,62,63,80,80,60
2,"


0003",Venusaur,Grass Poison,525,80,82,83,100,100,80
3,"


0003",Venusaur Mega Venusaur,Grass Poison,625,80,100,123,122,120,80
4,"


0004",Charmander,Fire ,309,39,52,43,60,50,65
5,"


0005",Charmeleon,Fire ,405,58,64,58,80,65,80
6,"


0006",Charizard,Fire Flying,534,78,84,78,109,85,100
7,"


0006",Charizard Mega Charizard X,Fire Dragon,634,78,130,111,130,85,100
8,"


0006",Charizard Mega Charizard Y,Fire Flying,634,78,104,78,159,115,100
9,"


0007",Squirtle,Water ,314,44,48,65,50,64,43
10,"


0008",Wartortle,Water ,405,59,63,80,65,80,58
11,"


0009",Blastoise,Water ,530,79,83,100,85,105,78
12,"


0009",Blastoise Mega Blastoise,Water ,630,79,103,120,135,115,78
13,"


0010",Caterpie,Bug ,195,45,30,35,20,20,45
14,"


0011",Metapod,Bug ,205,50,20,55,25,25,30
15,"


0012",Butterfree,Bug Flying,395,60,45,50,90,80,70
16,"


0013",Weedle,Bug Poison,195,40,35,30,20,20,50
17,"


0014",Kakuna,Bug Poison,205,45,25,50,25,25,35
18,"


0015",Beedrill,Bug Poison,395,65,90,40,45,80,75
19,"


0015",Beedrill Mega Beedrill,Bug Poison,495,65,150,40,15,80,145
20,"


0016",Pidgey,Normal Flying,251,40,45,40,35,35,56
21,"


0017",Pidgeotto,Normal Flying,349,63,60,55,50,50,71
22,"


0018",Pidgeot,Normal Flying,479,83,80,75,70,70,101
23,"


0018",Pidgeot Mega Pidgeot,Normal Flying,579,83,80,80,135,80,121
24,"


0019",Rattata,Normal ,253,30,56,35,25,35,72
25,"


0019",Rattata Alolan Rattata,Dark Normal,253,30,56,35,25,35,72
26,"


0020",Raticate,Normal ,413,55,81,60,50,70,97
27,"


0020",Raticate Alolan Raticate,Dark Normal,413,75,71,70,40,80,77
28,"


0021",Spearow,Normal Flying,262,40,60,30,31,31,70
29,"


0022",Fearow,Normal Flying,442,65,90,65,61,61,100
30,"


0023",Ekans,Poison ,288,35,60,44,40,54,55
31,"


0024",Arbok,Poison ,448,60,95,69,65,79,80
32,"


0025",Pikachu,Electric ,320,35,55,40,50,50,90
33,"


0025",Pikachu Partner Pikachu,Electric ,430,45,80,50,75,60,120
34,"


0026",Raichu,Electric ,485,60,90,55,90,80,110
35,"


0026",Raichu Alolan Raichu,Electric Psychic,485,60,85,50,95,85,110
36,"


0027",Sandshrew,Ground ,300,50,75,85,20,30,40
37,"


0027",Sandshrew Alolan Sandshrew,Ice Steel,300,50,75,90,10,35,40
38,"


0028",Sandslash,Ground ,450,75,100,110,45,55,65
39,"


0028",Sandslash Alolan Sandslash,Ice Steel,450,75,100,120,25,65,65
40,"


0029",Nidoran♀,Poison ,275,55,47,52,40,40,41
41,"


0030",Nidorina,Poison ,365,70,62,67,55,55,56
42,"


0031",Nidoqueen,Poison Ground,505,90,92,87,75,85,76
43,"


0032",Nidoran♂,Poison ,273,46,57,40,40,40,50
44,"


0033",Nidorino,Poison ,365,61,72,57,55,55,65
45,"


0034",Nidoking,Poison Ground,505,81,102,77,85,75,85
46,"


0035",Clefairy,Fairy ,323,70,45,48,60,65,35
47,"


0036",Clefable,Fairy ,483,95,70,73,95,90,60
48,"


0037",Vulpix,Fire ,299,38,41,40,50,65,65
49,"


0037",Vulpix Alolan Vulpix,Ice ,299,38,41,40,50,65,65
50,"


0038",Ninetales,Fire ,505,73,76,75,81,100,100
51,"


0038",Ninetales Alolan Ninetales,Ice Fairy,505,73,67,75,81,100,109
52,"


0039",Jigglypuff,Normal Fairy,270,115,45,20,45,25,20
53,"


0040",Wigglytuff,Normal Fairy,435,140,70,45,85,50,45
54,"


0041",Zubat,Poison Flying,245,40,45,35,30,40,55
55,"


0042",Golbat,Poison Flying,455,75,80,70,65,75,90
56,"


0043",Oddish,Grass Poison,320,45,50,55,75,65,30
57,"


0044",Gloom,Grass Poison,395,60,65,70,85,75,40
58,"


0045",Vileplume,Grass Poison,490,75,80,85,110,90,50
59,"


0046",Paras,Bug Grass,285,35,70,55,45,55,25
60,"


0047",Parasect,Bug Grass,405,60,95,80,60,80,30
61,"


0048",Venonat,Bug Poison,305,60,55,50,40,55,45
62,"


0049",Venomoth,Bug Poison,450,70,65,60,90,75,90
63,"


0050",Diglett,Ground ,265,10,55,25,35,45,95
64,"


0050",Diglett Alolan Diglett,Ground Steel,265,10,55,30,35,45,90
65,"


0051",Dugtrio,Ground ,425,35,100,50,50,70,120
66,"


0051",Dugtrio Alolan Dugtrio,Ground Steel,425,35,100,60,50,70,110
67,"


0052",Meowth,Normal ,290,40,45,35,40,40,90
68,"


0052",Meowth Alolan Meowth,Dark ,290,40,35,35,50,40,90
69,"


0052",Meowth Galarian Meowth,Steel ,290,50,65,55,40,40,40
70,"


0053",Persian,Normal ,440,65,70,60,65,65,115
71,"


0053",Persian Alolan Persian,Dark ,440,65,60,60,75,65,115
72,"


0054",Psyduck,Water ,320,50,52,48,65,50,55
73,"


0055",Golduck,Water ,500,80,82,78,95,80,85
74,"


0056",Mankey,Fighting ,305,40,80,35,35,45,70
75,"


0057",Primeape,Fighting ,455,65,105,60,60,70,95
76,"


0058",Growlithe,Fire ,350,55,70,45,70,50,60
77,"


0058",Growlithe Hisuian Growlithe,Fire Rock,350,60,75,45,65,50,55
78,"


0059",Arcanine,Fire ,555,90,110,80,100,80,95
79,"


0059",Arcanine Hisuian Arcanine,Fire Rock,555,95,115,80,95,80,90
80,"


0060",Poliwag,Water ,300,40,50,40,40,40,90
81,"


0061",Poliwhirl,Water ,385,65,65,65,50,50,90
82,"


0062",Poliwrath,Water Fighting,510,90,95,95,70,90,70
83,"


0063",Abra,Psychic ,310,25,20,15,105,55,90
84,"


0064",Kadabra,Psychic ,400,40,35,30,120,70,105
85,"


0065",Alakazam,Psychic ,500,55,50,45,135,95,120
86,"


0065",Alakazam Mega Alakazam,Psychic ,600,55,50,65,175,105,150
87,"


0066",Machop,Fighting ,305,70,80,50,35,35,35
88,"


0067",Machoke,Fighting ,405,80,100,70,50,60,45
89,"


0068",Machamp,Fighting ,505,90,130,80,65,85,55
90,"


0069",Bellsprout,Grass Poison,300,50,75,35,70,30,40
91,"


0070",Weepinbell,Grass Poison,390,65,90,50,85,45,55
92,"


0071",Victreebel,Grass Poison,490,80,105,65,100,70,70
93,"


0072",Tentacool,Water Poison,335,40,40,35,50,100,70
94,"


0073",Tentacruel,Water Poison,515,80,70,65,80,120,100
95,"


0074",Geodude,Rock Ground,300,40,80,100,30,30,20
96,"


0074",Geodude Alolan Geodude,Rock Electric,300,40,80,100,30,30,20
97,"


0075",Graveler,Rock Ground,390,55,95,115,45,45,35
98,"


0075",Graveler Alolan Graveler,Rock Electric,390,55,95,115,45,45,35
99,"


0076",Golem,Rock Ground,495,80,120,130,55,65,45
100,"


0076",Golem Alolan Golem,Rock Electric,495,80,120,130,55,65,45
101,"


0077",Ponyta,Fire ,410,50,85,55,65,65,90
102,"


0077",Ponyta Galarian Ponyta,Psychic ,410,50,85,55,65,65,90
103,"


0078",Rapidash,Fire ,500,65,100,70,80,80,105
104,"


0078",Rapidash Galarian Rapidash,Psychic Fairy,500,65,100,70,80,80,105
105,"


0079",Slowpoke,Water Psychic,315,90,65,65,40,40,15
106,"


0079",Slowpoke Galarian Slowpoke,Psychic ,315,90,65,65,40,40,15
107,"


0080",Slowbro,Water Psychic,490,95,75,110,100,80,30
108,"


0080",Slowbro Mega Slowbro,Water Psychic,590,95,75,180,130,80,30
109,"


0080",Slowbro Galarian Slowbro,Poison Psychic,490,95,100,95,100,70,30
110,"


0081",Magnemite,Electric Steel,325,25,35,70,95,55,45
111,"


0082",Magneton,Electric Steel,465,50,60,95,120,70,70
112,"


0083",Farfetch'd,Normal Flying,377,52,90,55,58,62,60
113,"


0083",Farfetch'd Galarian Farfetch'd,Fighting ,377,52,95,55,58,62,55
114,"


0084",Doduo,Normal Flying,310,35,85,45,35,35,75
115,"


0085",Dodrio,Normal Flying,470,60,110,70,60,60,110
116,"


0086",Seel,Water ,325,65,45,55,45,70,45
117,"


0087",Dewgong,Water Ice,475,90,70,80,70,95,70
118,"


0088",Grimer,Poison ,325,80,80,50,40,50,25
119,"


0088",Grimer Alolan Grimer,Poison Dark,325,80,80,50,40,50,25
120,"


0089",Muk,Poison ,500,105,105,75,65,100,50
121,"


0089",Muk Alolan Muk,Poison Dark,500,105,105,75,65,100,50
122,"


0090",Shellder,Water ,305,30,65,100,45,25,40
123,"


0091",Cloyster,Water Ice,525,50,95,180,85,45,70
124,"


0092",Gastly,Ghost Poison,310,30,35,30,100,35,80
125,"


0093",Haunter,Ghost Poison,405,45,50,45,115,55,95
126,"


0094",Gengar,Ghost Poison,500,60,65,60,130,75,110
127,"


0094",Gengar Mega Gengar,Ghost Poison,600,60,65,80,170,95,130
128,"


0095",Onix,Rock Ground,385,35,45,160,30,45,70
129,"


0096",Drowzee,Psychic ,328,60,48,45,43,90,42
130,"


0097",Hypno,Psychic ,483,85,73,70,73,115,67
131,"


0098",Krabby,Water ,325,30,105,90,25,25,50
132,"


0099",Kingler,Water ,475,55,130,115,50,50,75
133,"


0100",Voltorb,Electric ,330,40,30,50,55,55,100
134,"


0100",Voltorb Hisuian Voltorb,Electric Grass,330,40,30,50,55,55,100
135,"


0101",Electrode,Electric ,490,60,50,70,80,80,150
136,"


0101",Electrode Hisuian Electrode,Electric Grass,490,60,50,70,80,80,150
137,"


0102",Exeggcute,Grass Psychic,325,60,40,80,60,45,40
138,"


0103",Exeggutor,Grass Psychic,530,95,95,85,125,75,55
139,"


0103",Exeggutor Alolan Exeggutor,Grass Dragon,530,95,105,85,125,75,45
140,"


0104",Cubone,Ground ,320,50,50,95,40,50,35
141,"


0105",Marowak,Ground ,425,60,80,110,50,80,45
142,"


0105",Marowak Alolan Marowak,Fire Ghost,425,60,80,110,50,80,45
143,"


0106",Hitmonlee,Fighting ,455,50,120,53,35,110,87
144,"


0107",Hitmonchan,Fighting ,455,50,105,79,35,110,76
145,"


0108",Lickitung,Normal ,385,90,55,75,60,75,30
146,"


0109",Koffing,Poison ,340,40,65,95,60,45,35
147,"


0110",Weezing,Poison ,490,65,90,120,85,70,60
148,"


0110",Weezing Galarian Weezing,Poison Fairy,490,65,90,120,85,70,60
149,"


0111",Rhyhorn,Ground Rock,345,80,85,95,30,30,25
150,"


0112",Rhydon,Ground Rock,485,105,130,120,45,45,40
151,"


0113",Chansey,Normal ,450,250,5,5,35,105,50
152,"


0114",Tangela,Grass ,435,65,55,115,100,40,60
153,"


0115",Kangaskhan,Normal ,490,105,95,80,40,80,90
154,"


0115",Kangaskhan Mega Kangaskhan,Normal ,590,105,125,100,60,100,100
155,"


0116",Horsea,Water ,295,30,40,70,70,25,60
156,"


0117",Seadra,Water ,440,55,65,95,95,45,85
157,"


0118",Goldeen,Water ,320,45,67,60,35,50,63
158,"


0119",Seaking,Water ,450,80,92,65,65,80,68
159,"


0120",Staryu,Water ,340,30,45,55,70,55,85
160,"


0121",Starmie,Water Psychic,520,60,75,85,100,85,115
161,"


0122",Mr. Mime,Psychic Fairy,460,40,45,65,100,120,90
162,"


0122",Mr. Mime Galarian Mr. Mime,Ice Psychic,460,50,65,65,90,90,100
163,"


0123",Scyther,Bug Flying,500,70,110,80,55,80,105
164,"


0124",Jynx,Ice Psychic,455,65,50,35,115,95,95
165,"


0125",Electabuzz,Electric ,490,65,83,57,95,85,105
166,"


0126",Magmar,Fire ,495,65,95,57,100,85,93
167,"


0127",Pinsir,Bug ,500,65,125,100,55,70,85
